SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,ADDRESS,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE,MATCH_ADDR,MATCH_TYPE,LATITUDE,LONGITUDE
Tropic,,Joseph Potter,Brig,1870,"Church Point, NS",3/16/1880,1880,3,16,Long Beach LSS N 1 mi,Stranded,,,91,25.3,10,157,,"Port-au-Prince, Haiti","Miragoane, Haiti","New York, NY",Potter,7,,7,8000,4000,Logwood,Long Beach #21,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Magnolia (1893),,E A Isham,Schooner,1891,"Portsmouth, VA",4/20/1893,1893,4,20,Forked River LSS S .75 mi,Stranded,Wood,US,140.2,23.8,12,277.4,263.53,"Boston, MA","Norfolk, VA","New York, NY",McLeod,3,,0,8000,4000,Pilings,"Forked River, Barnegat, Cedar Creek",Y,N,"#92275; Total loss;  w/ ""Dixie""; Towed by ""Taurus""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Cavalier (1899),,,Schooner,1893,"Pugwash, NS",12/2/1899,1899,12,2,Spermaceti Cove LSS S 1 mi,Stranded,Wood,Canada,108.4,28,10.7,242,234,"Halifax, NS","Port au Prince, Haiti","New York, NY",W H Dean,6,,0,5000,4000,Logwood,Spermaceti Cove #2,N,N,#100233; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Oliver Scofield,,,Schooner,1867,"Toltenville, NY",12/4/00,1900,12,4,"Lavallette City, NJ",Wrecked,Wood,US,130,31.5,14.6,394,374,"New London, CT","Norfolk, VA","New York, NY",Bragg,6,,0,5000,4000,Lumber,,Y,N,#19220 Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
William Thompson,,A P Doane et al,Schooner,1865,"Kennebunk, ME",10/10/1879,1879,10,10,Barnegat LSS E 1 mi,Grounded,Wood,,86.8,21.9,8,92,,"South Dennis, MA","Cartagena, Spain","New York, NY",Miller,6,,0,5000,4000,Coconuts,Barnegat,N,N,#26090; Refloated after dumping cargo,,"New York, NY",ROOFTOP,40.714269,-74.005973
Light Boat,,S N Hatch,Schooner,1861,"Frankfort, ME",2/3/1880,1880,2,3,Long Branch N 1 mi,Stranded in storm,Wood,,81,22,10.9,114,,"Rockland, ME","Norfolk, VA","New York, NY",J H Tallman,5,,0,2500,4000,6800 bushels corn,Long Beach #21,Y,Y,#15069; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Margaret (1895),,,Schooner,1869,"Cherryfield, ME",3/18/1895,1895,3,18,Sandy Hook Romer Shoal,Stranded,,,82.7,27.4,7.5,117.07,111.22,"Machias, ME","Norfolk, VA","New York, NY",Robinson,5,,0,3000,3740,Corn,,N,N,#90067; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Emily F Northam,,T Winsmore,Schooner,1883,"Portland, CT",4/19/1887,1887,4,19,Hereford Inlet NE 1.5 mi,Grounded,,,131.2,33,10.5,332.45,315.83,"Middletown, CT","Norfolk, VA","New York, NY",Stetson,8,,0,15000,3500,Lumber,,N,N,#135732; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
John Mosser (1883),,Abrams et al,Schooner,1866,"Islip, NY",2/17/1883,1883,2,17,Hereford Inlet E 1 mi,Stranded in fog,Wood,,82.3,25,7.2,93,,"New York, NY","Rappahannock, VA","New York, NY",Curtis,6,,0,4000,3500,Oysters,,Y,N,#13200; Total loss; Compass failure,,"New York, NY",ROOFTOP,40.714269,-74.005973
Ida B Gibson,,Charles Bowker et al,Schooner,1874,"Chester, PA",11/9/17,1900,11,9,Avalon LSS SE 5 mi,"Lost spar, in ditress",Wood,US,121,32.6,9,235,223,"Tuckerton, NJ","Norfolk, VA","New York, NY",Falkinberg,6,,0,3000,3500,Lumber,Avalon Station #16,N,N,#100111; Partial Loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
D W McLean,,,Schooner,1883,"Norwalk, CT",3/9/1889,1889,3,9,Hereford Inlet South bar,Stranded,Wood,US,128.3,29.5,10.5,296.06,281.26,"New York, NY","Georgetown, SC","New York, NY",Hutchinson,6,,0,25000,3000,Railroad ties,Hereford Inlet,N,N,#157085; Refloated undamaged,,"New York, NY",ROOFTOP,40.714269,-74.005973
B N Hawkins,,,Schooner,,,1/6/1878,1878,1,6,Brigantine Shoal,Stranded,,,,,,395.51,,"New York, NY","Charleston, SC","New York, NY",Turpin,10,,0,20000,3000,Lumber,Brigantine #25,Y,N,#2354; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Isaac L Clark,Rober Moore,Dare B Mulford,Schooner,1874,"Bridgeton, NJ",12/17/1882,1882,12,17,Sandy Hook Point,Stranded,,,120.8,32,8.2,318,,"Camden, NJ","Georgetown, DC","New York, NY",E A Cranmer,7,,0,15000,3000,507 tons coal,Sandy Hook,N,N,"#100109; Renamed ""Rober Moore""",,"New York, NY",ROOFTOP,40.714269,-74.005973
H F Potter,,,Schooner,,,10/23/1878,1878,10,23,Hereford Shoal S 1 mi,Wrecked in hurricane,,US,,,,212,,"Middletown, CT","Fernandina, FL","New York, NY",Anderson,6,,2,12000,3000,Pine Lumber,,,"N ",,,"New York, NY",ROOFTOP,40.714269,-74.005973
O M Marrett (1877),,C McKown,Schooner,1869,"Booth Bay , ME",2/6/1877,1877,2,6,Little Egg Harbor LSS N 1 mi,Stranded,,,100,26,9,194,,"Brooklyn, NY",Puerto Rico,"New York, NY",Reed,7,,0,12000,3000,Oranges,Little Egg #23,N,N,#19312; Refloated; Towed to NY,See Misc File Drawer,"New York, NY",ROOFTOP,40.714269,-74.005973
"William E Lee (1891A) ",,J C Cottingham,Schooner,1877,"Dennisville, NJ",2/16/1891,1891,2,16,Sandy Hook Romer Shoal,Stranded in gale,Wood,US,138,34,12,507.81,475.77,"Philadelphia, PA","Philadelphia, PA","New York, NY",Garwood,7,,0,16000,1910,764 ton coal,Sandy Hook,N,N,#80617; Refloated; Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Peter C Schultz,,,Schooner,1874,"Newburgh, NY",12/26/1892,1892,12,26,Monmouth Beach LSS E 1.5 mi,Collision,Wood,,129.6,32,15.4,328,415,"New York, NY","City Point, VA","New York, NY",Lowery,7,,0,12000,3000,Railroad ties,Monmouth Beach,N,N,#20478; Towed into port,,"New York, NY",ROOFTOP,40.714269,-74.005973
Helen A Locke,,J Mays et al,Schooner,1870,"East Boston, MA",12/27/1874,1874,12,27,Little Egg Harbor shoal,Stranded,,,95,23.6,9,94,,"Boston, MA",Puerto Rico,"New York, NY",J Grey,6,,0,10000,3000,Oranges,Little Egg # 23,Y,"N ",#95088; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Martha E McCabe,,Asher J Hudson,Schooner,1888,"Milton, DE",3/20/06,1906,3,20,Barnegat,Foundered in storm,Wood,,181.5,23.3,9.2,345,342,"Philadelphia, PA","Norfolk, VA","New York, NY",Willard Massey,6,,0,10000,3000,Lumber & pilings,,Y,N,#92067; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Abiel Abbot,,Abiel Abbot,Bark,1874,"Boston, MA",1/20/03,1903,1,20,Ship Bottom LSS S .5 mi,Stranded,Wood,US,136,32.5,17,589,560,"New York, NY","Salt Key, Turks Island","New York, NY",Isaac B Hawkins,9,0,5,8000,3000,"Salt  ",Long Beach Island & Ship Bottom,Y,Y,#105479; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Andrew Nebinger,,Phil Fitzpatrick & J May,Schooner,1873,"Milford, DE",3/12/1888,1888,3,12,Highlands Light,Collision,Wood,,127,32.8,9.7,293.7,279,"Philadelphia, PA","Jacksonville, FL","New York, NY",W T Smith,7,,,7000,3000,440 ton Yellow pine lumber,,,N,#105299,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mary Louisa,,,Schooner,,,3/26/1878,1878,3,26,Barnegat LSS ENE 1 mi,Grounded,,,,,,99,,"New York, NY","Washington, DC","New York, NY",Gaskell,8,,0,6000,3000,"Tar, Resin and Cotton",Barnegat,N,N,#17099; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Eliza A Scribner,,Thomas Winsmore,Schooner,1872,"Milford, DE",4/26/05,1905,4,26,Barnegat SE 13 mi,Collision in fog,Wood,US,128.4,30,9.2,398,350,"Philadelphia, PA","Wilmington, NC","New York, NY",Silas H Dodd,7,7,0,5000,3000,450 ton Yellow pine lumber,,N,N,#8839; Partial loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lester A Lewis (1895),,,Schooner,,,4/20/1895,1895,4,20,Sandy Hook Romer Shoal,Stranded,,,,,," ",250,"Bangor, ME","Norfolk, VA","New York, NY",Crosby,6,,0,5000,3000,Lumber,Sandy Hook,N,N,Refloated; Badly damaged,,"New York, NY",ROOFTOP,40.714269,-74.005973
J and C Merritt (1881),,,Schooner,1866,"English Creek, NJ",11/24/1881,1881,11,24,Great Egg Harbor Inlet North side,Stranded,,,,,,35.41,33.64,"Somers Point, NJ","Somers Point, NJ","New York, NY",Booy,3,,0,2000,3000,,,N,N,"#12901; Refloated; See ""Hattie J""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Elizabeth A Buehler,,James L Maloy Jr,Schooner,1874,,12/27/1882,1882,12,27,Green Island LSS E 4.5 mi,Struck sunken wreck in fog,Wood,,,,,491.39,,"Philadelphia, PA","Baltimore, MD","New York, NY",James L Maloy Jr,8,0,0,25000,2824,807 ton coal,Green #5,,N,#135007,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mississippi,,,Schooner,,,12/16/1847,1847,12,16,Absecon Beach,Stranded,,,,,,,,"York River, VA","Norfolk, VA","New York, NY",,5,1,0,2000,2700,,,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Yum Chi,,,Ship,,,4/25/1848,1848,4,25,Little Egg Harbor Inlet,Stranded,,,,,,420,,,"Canton, China","New York, NY",,21,,,,2700,"Tea, silk and valuable merchandice",,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lizzie Florence,,Sam Lippencott,Schooner,1870,,12/2/1883,1883,12,2,Gulf Stream,Abandoned in gale,Wood,,,,,194.82,,"Tuckerton, NJ","Jacksonville, FL","New York, NY",Joseph Endicott,6,,0,7000,2500,Lumber,,Y,N,#15659; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Favorite (1885),,,Schooner,1870,"Branford, CT",2/13/1885,1885,2,13,Fathom Beach South end,Stranded,,,,,,137,,"New Haven, CT","Norfolk, VA","New York, NY",Eldridge,4,,0,6500,2500,Lumber,Hereford Inlet,Y,N,#9917; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
John Johnson (1898),,O Clark,Schooner,1866,"Milford, DE",2/20/1898,1898,2,20,Harvey Cedars S 2 mi,Waterlogged; Abandoned,Wood,US,114.5,21,9.5,314.62,298.89,"Boston, MA","Norfolk, VA","New York, NY",Clark,6,,0,3000,2500,Lumber,Harvey Cedars & Ship Bottom,Y,N,#13414; Grounded; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Melissa Trask,,,Schooner,1880,"Brewer, ME",12/26/1890,1890,12,26,Sandy Hook LSS E 2.5 mi,Stranded,,,113.2,29.2,9.7,237,224,"Bangor, ME","Jacksonville, FL","New York, NY",Atwood,,,,8000,2450,Lumber,,N,N,#91277; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Moses B Bramhall,,,Schooner,1860,"Jersey City, NJ",10/20/1891,1891,10,20,Sandy Hook Romer Shoal,Stranded,,,122.9,31.3,13.4,345.31,238.05,"New York, NY","Charleston, SC","New York, NY",Smith,7,,0,4000,2240,Railroad Ties,Sandy Hook,Y,N,#16887; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
F A Serven,,E Conderry,Schooner,1874,,9/16/1876,1876,9,16,,Waterlogged,,US,,,,330.43,,"Philadelphia, PA","Brunswick, GA","New York, NY",Conderry,8,0,0,24000,2400,Lumber,,N,"N ",#120154; Towed to Charleston,,"New York, NY",ROOFTOP,40.714269,-74.005973
Thomas W H White,,,Schooner,1867,"Tuckerton, NJ",4/12/1882,1882,4,12,Sandy Hook LSS NNW 3.25 mi,Stranded,,,114.6,29.6,9.2,214,203.03,"New York, NY",Virginia,"New York, NY",Smith,6,,0,16000,2000,Pine wood,Sandy Hook,N,N,#24956; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lizzie (1886),,Wesley Scull,Schooner,1867,"Patconk Creek, NJ",7/21/1886,1886,7,21,Atlantic City LSS N 1 mi,Leaking,Wood,,80.4,22.9,6.9,86,82,"Somers Point, NJ",Virginia,"New York, NY",Bowen,4,,0,1000,2500,Lumber,Atlantic City,N,N,#15311; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Rival (1904),,,Schooner,1902,"Essex, MA",4/8/04,1904,4,8,Brigantine Shoal,Grounded in fog,Wood,US,102.3,24.4,10.6,122,91,"Gloucester, MA","Hampton Roads, VA","New York, NY",C W Farmer,18,0,0,15000,2000,Fish,South Brigantine,Y,"N ",#111397; Total Loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Albert Mason,,,Schooner,1861,"Patchogue, NY",1/7/1891,1891,1,7,Holly Beach SE 4 mi,In distress,,,114.6,30.1,9.1,285.71,271.43,"New York, NY","Chickahominy River, VA","New York, NY",Gale,6,,0,8000,2000,Railroad ties,Holly Beach,N,N,#742; Repaired,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lawrence N McKenzie,,,Schooner,1883,"Essex, MA",3/21/1890,1890,3,21,Cedar Creek LSS S 1 mi,Wrecked,Wood,,98.2,24.4,9.5,154,,"Provincetown, MA",Puerto Rico,"New York, NY",McKenzie,8,,0,9000,2000,"Oranges  ",Cedar Creek,Y,N,Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Melchior,Elizabeth Cushing,J A Schwoon,Bark,1857,"Newburyport, MA",4/30/1880,1880,4,30,Seabright LSS S 1.5 mi,Wrecked,,,167,30.8,23.6,986,,"Bremen, Germany","Bremen, Germany","New York, NY",Wierichs,18,,0,13000,2000,Petroleum Barrels & salt,Sea Bright #2 & #3,Y,N,"Total loss; Formerly ""Elizabeth Cushing""",,"New York, NY",ROOFTOP,40.714269,-74.005973
Anna E Cranmer,,A R Pharo,Schooner,1866,"Allowaystown, NJ",1/9/1885,1885,1,9,Sandy Hook Romer Shoal,Stranded,Wood,US,110.4,29.8,9,231.45,202.78,"Tuckerton, NJ","Richmond, VA","New York, NY",James G Williks,6,,0,6000,2000,Pinewood,,N,N,#522; Refloated; 2 more incidents in VA,,"New York, NY",ROOFTOP,40.714269,-74.005973
S A Rudolph,,,Schooner,1882,"Camden, NJ",2/6/1889,1889,2,6,Island Beach LSS N .5 mi,Stranded,Wood,US,121,23.6,8.5,207,197,"Philadelphia, PA","Washington, NC","New York, NY",Mullen,6,,0,8000,2000,Lumber,Island Beach & Toms River,N,N,#115900; Refloated; Towed to NY,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lena Breed,,B H Jackson,Schooner,1872,"Milton, DE",10/8/1886,1886,10,8,"Highlands, NJ",Distress in Nor'easter,,,,,,217,206.11,"Philadelphia, PA","Wilcox Landing, VA","New York, NY",B H Jackson,4,,0,6000,2000,320 ton Railroad ties,,N,N,#15824,,"New York, NY",ROOFTOP,40.714269,-74.005973
Maggie P Smith,,,Schooner,1866,"Camden, NJ",5/20/1892,1892,5,20,Mantaloking LSS S .75 mi,Stranded,Wood,US,104,26.7,8.8,190.97,181.42,"Philadelphia, PA","Pamunkey River, VA","New York, NY",Griffith,5,0,0,3200,1800,Railroad ties,Mantaloking,Y,N,#17147; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Marian E Rockhill,M E Rockhill,A R Pharo,Schooner,1867,,11/27/1881,1881,11,27,Sandy Hook,Collision,,US,,,,284.79,,"Tuckerton, NJ","Georgetown, DC","New York, NY",William B Anderson,6,,0,8000,2000,40 ton coal,,,N,#90042,,"New York, NY",ROOFTOP,40.714269,-74.005973
L Q C Wishart,,,Schooner,1867,"Greenwich, CT",12/5/10,1910,12,5,Little Beach LSS SE 2.5 mi,Stranded,Wood,US,115.2,29.5,9.1,238,195,"New York, NY","James River, VA","New York, NY",,6,,0,4000,2000,Railroad Ties,Little Beach,Y,N,#154440; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Calvin S Edwards,,"F Smith, et al",Schooner,1860,"Dorchester, NJ",1/25/1891,1891,1,25,Atlantic City,Lost sails; Abandoned,Wood,,109.7,28.7,9.3,230.7,219.16,"Philadelphia, PA","Norfolk, VA","New York, NY",J M Maxwell,,,,2000,1800,300 ton lumber,,N,N,#4957; Towed to NY; Sold by US Marshall,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lottie (1886),,Samuel Castner,Schooner,,,6/23/1886,1886,6,23,Sandy Hook,Damaged in gale,,,,,,216,,"Philadelphia, PA","Norfolk, VA","New York, NY",John Somers,7,,0,10000,1600,300 ton lumber,,N,N,#15762; Towed to New York,,"New York, NY",ROOFTOP,40.714269,-74.005973
Gaston T Hubbard,,,Schooner,1861,"Middletown, CT",12/26/1879,1879,12,26,Great Egg Harbor bar,Stranded,,US,,,,192.52,,"New York, NY","James River, VA","New York, NY",Loveland,6,,0,5000,1650,Wood,Beasley's #30,N,"N ",#10426; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
James B Johnson,,George Shaw,Schooner,1858,"Nacote Creek, Galloway, NJ",1/24/1890,1890,1,24,Forked River LSS S .5 m,Stranded,Wood,US,91.9,27.3,8.2,147.82,140.43,"Philadelphia, PA","Bogue Inlet, NC","New York, NY",Smith Shaw,4,,0,4500,1600,225 ton lumber,"Forked River 15, 16, 17",,N,#12912,,"New York, NY",ROOFTOP,40.714269,-74.005973
M V Cook (1886),,Pharo,Schooner,,,10/14/1886,1886,10,14,Unknown,Leaking at keel,Wood,US,,,,191,,"Tuckerton, NJ","James River, VA","New York, NY",Sooy,5,,0,3000,1600,Poplar wood,,N,N,#61593; Repaired,,"New York, NY",ROOFTOP,40.714269,-74.005973
Auburndale,,,Bark,1880,"Millbridge, ME",12/22/1898,1898,12,22,Harvey Cedars LSS S 1.25 mi,Stranded in fog,Wood,US,149.3,33.6,17.3,663,574.99,"Boston, MA","Buenos Aeris, Arg","New York, NY",Dow,11,,0,8000,1600,900 ton salt,Ship Bottom; Loveladies,N,N,#105935; Refloated; Disappeared  7/1/1908,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mary E Simmons (1892),,,Schooner,1866,"Tuckahoe, NJ",5/19/1892,1892,5,19,Squan Beach LSS N 150 yds,Grounded; Abandoned,,,110.3,29.3,8.5,210.55,200,"New York, NY","Norfolk, VA","New York, NY",Taylor,,,,3000,1600,Lumber,Squan Beach,Y,N,#16571; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Frank Pearson,,,Schooner,,,1/21/1880,1880,1,21,Island Beach LSS S 1 mi,Stranded,,,,,,82.82,,"Rockland, ME","Richmond, VA","New York, NY",Cushman,4,0,0,10000,1500,Railroad ties & pig iron,Island Beach #14,N,"N ",#120346; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
E C Knight Jr (1903),,Ezra S Bartlett,Schooner,1874,"Port Republic, NJ",4/22/03,1903,4,22,Cape May SE 5 mi,"Collision w/ ""Rebecca M Smith""",Wood,US,121.3,32.4,9,247.29,234.93,"Philadelphia, PA","Claremont, VA","New York, NY",John Oronberg,6,,0,5000,1600,200 cords pine wood,,N,N,#8992; Partial damage,,"New York, NY",ROOFTOP,40.714269,-74.005973
Georgie L Drake,,,Schooner,1883,"Bath, ME",4/3/1891,1891,4,3,Sandy Hook Point,Stranded,,,143.3,35.1,12.5,465.93,442.64,"Bath, ME","Mobile, AL","New York, NY",Goldthwaite,8,,0,12000,1500,Lumber,Sandy Hook,N,N,#85766; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Edith and May,,,Schooner,1891,"Millbridge, ME",9/7/05,1905,9,7,Sea Isle City LSS NE 3.5 mi,Grounded,Wood,US,95.4,26.2,7.3,128,103,"New London, CT","Fernandina, FL","New York, NY",Birch,5,,0,4500,1500,Lumber,"Sea Isle City, Corsons Inlet",N,N,#136234; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charles P Sinnickson,,George A Twibill,Schooner,1863,"Chester, PA",2/9/1886,1886,2,9,Barnegat E,Lost rudder,,,113.8,23.5,8.7,190.9,181.35,"Philadelphia, PA","Yatesville, NC","New York, NY",William S Cropper,5,,0,6500,1500,Yellow pine,,N,N,#125109; Towed into New York,,"New York, NY",ROOFTOP,40.714269,-74.005973
Maria Pierson,,,Schooner,1864,"Forked River, NJ",1/8/1894,1894,1,8,Bay Head E 4 mi,"Collision w/ ""Frank Vander Herchen""",,,126,31,11,286.13,271.83,"Perth Amboy, NJ",Virginia,"New York, NY",Hickman,7,,0,2000,1400,,Bay Head,,N,#17042,,"New York, NY",ROOFTOP,40.714269,-74.005973
Lillie Falkenburg,,W A Loveland,Schooner,1873,,10/25/1897,1897,10,25,"Lewes, DE Breakwater",Stranded in hurricane,,US,,,,205.75,,"Tuckerton, NJ","Suffolk, VA","New York, NY",John Smith,6,,0,5000,1400,Lumber,,Y,N,#15928; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Oliver H Booth,,,Schooner,1856,"Poughkeepsie, NY",11/10/1885,1885,11,10,Great Egg Harbor Inlet,Stranded,,,120,33,9.7,243,230.7,"New York, NY",Virginia,"New York, NY",Bowen,7,,0,9000,1320,Cord wood,,N,N,#19020; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Emma C Babcock,,John Wallace et al,Schooner,1873,"Goshen, NY",2/3/1880,1880,2,3,Monmouth Beach N .25 mi,Grounded in gale,Wood,US,113.5,29.9,9.1,228.28,,"Somers Point, NJ ","James River, VA","New York, NY",Isaac Treen,7,,0,16000,1200,Pinewood,Monmouth Beach #4,Y,N,#8915; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
William McGee,,,Schooner,1865,"Somerset County, MD",5/15/08,1908,5,15,Sea Isle City LSS SSE 1.5 mi,Foundered,,,82,23.5,7.5,85,81,"New York, NY","West Point, VA","New York, NY",,4,,0,1500,1100,Lumber,Sea Isle City & Townsends Inlet,Y,N,#26981; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
James Ponder,,,Schooner,1866,,4/20/1897,1897,4,20,"Cobbs Island, VA",Stranded,Wood,US,,,,271.62,,"Tuckerton, NJ",Virginia,"New York, NY",W A Maxwell,6,2,0,2000,1200,350 ton Railroad ties,Cobbs Island,Y,N,#13732; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
James Veldran,,A & J Pharo,,,,12/21/1881,1881,12,21,Absecon Inlet,"Collision w/ ""Hannah M Buell""",Wood,US,,,,208.94,,"Tuckerton, NJ","James River, VA","New York, NY",William Loveland,6,,,,1100,Wood,,,N,,,"New York, NY",ROOFTOP,40.714269,-74.005973
Joseph J Pharo (1889),,Joseph J Pharo,Schooner,1867,,7/31/1889,1889,7,31,Sandy Hook SE 16 mi,"Collision w/ ""Colunia""",Wood,US,,,,248.09,,"Tuckerton, NJ","James River, VA","New York, NY",E C Predmore,6,,,5000,1100,Pine wood,,N,N,Towed to NY,,"New York, NY",ROOFTOP,40.714269,-74.005973
Cordelia R Price (1875),C R Price,,Schooner,1872,"Bass River, NJ",11/18/1875,1875,11,18,Cold Spring Inlet North bar,Stranded,Wood,US,64.3,21.9,5.7,42,,"Somers Point, NJ","Chincoteague, VA","New York, NY",Adams,4,,0,6000,1000,Oysters,2 mile Beach #38,N,N,"#125085, Refloated",,"New York, NY",ROOFTOP,40.714269,-74.005973
Samuel L Storer,"Also see ""Bremen"", ""Main"", ""Saale"", ""Kaiser Wilhelm der Grosse""",,Schooner,1882,"Greenpoint, NY",5/17/00,1900,5,17,Ocean City LSS E 1.25 mi,Stranded,,,66,21.2,9,59,56,"Greenpoint, NY","Hatteras, NC","New York, NY",Graber,13,,0,6000,1000,Fish,Ocean City,Y,N,Total Loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
Commander,,,Schooner,1863,"New Haven, CT",12/30/1881,1881,12,30,Sandy Hook LSS W 1.5 mi,Stranded,,,,,,277.27,263.41,"Boston, MA","Baltimore, MD","New York, NY",Hall,6,,0,6500,1400,Coal,Sandy Hook #1,N,N,#4868; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
E J Hamilton,,,Schooner,1873,"Nyack, NY",5/20/1881,1881,5,20,Sandy Hook Point,Stranded,,,111,30,8,188,178.67,"New York, NY",Virginia,"New York, NY",Inman,6,,0,5000,1000,Wood,,N,N,#8923; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
H C Slaight,,,Schooner,1867,,12/4/1886,1886,12,4,Navesink Highlands E 5 mi,,,US,,,,199.95,,"Tuckerton, NJ","West Point, VA","New York, NY",Thomas Blackman,6,0,0,4000,1000,Pine wood,,,"N ",#11271,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mair & Cranmer,,J McCawley,Schooner,1871,"Goshen, NJ",12/5/1886,1886,12,5,Highlands,Damaged in storm,Wood,,,,,245.46,,"Philadelphia, PA","Georgetown, DC","New York, NY",J W Budd,6,,1,4000,1000,393 ton coal,,N,N,#90275,,"New York, NY",ROOFTOP,40.714269,-74.005973
Henry D Brewster,,Smith & Brewster,Schooner,1874,"Bay Shore, NY",1/8/1886,1886,1,8,Monmouth Beach LSS S 2 mi,Grounded,,,71,20,5.3,42,,"Patchogue, NY",Virginia,"New York, NY",Hendrikson,5,,0,4000,1000,Oysters,Monmouth Beach,Y,"N ",#95294; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
H W Godfrey,,,Schooner,1859,"Tuckahoe, NJ",10/7/1890,1890,10,7,Hereford Inlet South bar,Grounded,Wood,US,109,28.4,8.2,199.55,189.58,"New York, NY","James River, VA","New York, NY",Sharp,6,,0,4000,1000,Wood,,Y,N,#11385; Total loss,,"New York, NY",ROOFTOP,40.714269,-74.005973
S J Delan (1869),,,Schooner,1869,"Islip, NY",2/2/1877,1877,2,2,Tuckers Beach,Stranded,,,59.4,20,5.2,36,23,"Onancock, VA","Hog Island, VA","New York, NY",Mears,4,,0,4000,1000,Corn,Little Egg,N,N,#23823; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Mary J Forshay,,,Sloop,,,9/17/1875,1875,9,17,Shark River LSS S .25 mi,Stranded in gale,,,,,,28.07,,"New York, NY","Metomkin, VA","New York, NY",Seaman,3,,0,4000,1000,Potatoes,Shark River #7,N,N,#90178; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Charles L Lawrence,,,Schooner,,,12/19/1875,1875,12,19,Atlantic City LSS E,Stranded,,,,,,,,,"Chincoteague, VA","New York, NY",W Adams,3,,0,4000,1000,Oysters,Atlantic City #27,N,N,Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
Minnie Still,,,Schooner,,,12/10/1878,1878,12,10,Stone Harbor LSS N 1.5 mi,Stranded in storm,,,,,,55,,"Patchogue, NY",Virginia,"New York, NY",Silsbie,4,,0,3000,1000,Oysters,Stone Harbor #35,N,N,#90147; Refloated,,"New York, NY",ROOFTOP,40.714269,-74.005973
